BOROUGH,longitude,latitude,Residential,Education Facility,Cultural Facility,Recreational Facility,Social Services,Transportation Facility,Commercial,Government Facility,Religious Institution,Health Services,Public Safety,Water,Miscellaneous
Manhattan,-73.96940858240312,40.78180331179991,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.96621708748864,40.78446222112637,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.96273641027244,40.7818986652717,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.96506310007611,40.77786508003294,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.95786502382882,40.799982385784354,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.96927222965952,40.779228799788235,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.96628787029466,40.77533899006773,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97322876082366,40.779207607861274,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.95566862970924,40.79583993032837,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.93522073980076,40.827334050288925,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.93278882948673,40.862949290008956,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.93165512978358,40.86375178005952,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97763201987502,40.75217960030361,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97047858005838,40.74907275012604,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.96990029968845,40.7488094401831,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.94245924784514,40.84764916602924,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.96015419031173,40.81818022026687,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.95826397506526,40.82054022974711,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.91975811272734,40.87362165222587,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.93538300004553,40.826706310240425,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.97502824003827,40.796015450265365,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.95569163949826,40.82284736997118,0,0,0,0,0,1,0,0,0,0,0,0,0
Manhattan,-73.99417376006096,40.77235088003035,0,0,0,0,0,1,0,0,0,0,0,0,0
